product_id,naam,slug,merk,categorie,prijs,adviesprijs,voorraad,beoordelingen,beschikbaarheid,afbeelding_url,bron_url,korte_omschrijving,volledige_titel
9300000235047946,Sigarettendoosjes – Zwart (art. 7946),besjaar-sigarettendoosjes-zwart-art-7946,Besjaar,Lifestyle & Accessoires,9.99,,25,23,Op voorraad,https://media.s-bol.com/NA1jmpm2rgoL/Y652RLn/550x602.jpg,https://www.bol.com/nl/nl/p/sigarettenhouder-sigaretten-box-sigaretten-doosje-zwart-sigaretten-opbergdoosje-sigaretten-doosje-20-stuks-sigaretten-doosje-metaal-sigaretten-etui-focus/9300000235047946/,Sigarettenhouder · Aluminium · Weerbestendig,Besjaar Sigarettendoosjes - Sigarettenhouder- Aluminium - Weerbestendig - Stevig en Luxe - Zwart
9300000183429595,Deurbel Draadloos – 2 Ontvangers,besjaar-deurbel-draadloos-2-ontvangers,Besjaar,Klussen & Huis,22.50,,25,166,Op voorraad,https://media.s-bol.com/3WoO7BgV3Av4/3Q7PpNr/550x550.jpg,https://www.bol.com/nl/nl/p/deurbel-draadloze-deurbel-deurbel-draadloos-2-ontvangers-deurbellen-bel-beldrukker-zwart-ip44-waterdicht-inclusief-batterijen-bereik-300-meter/9300000183429595/,Deurbel Draadloos · Draadloze Deurbel · Met 2 Ontvangers,Besjaar Deurbel - Deurbel Draadloos - Draadloze Deurbel - Met 2 Ontvangers - Ontvangers Op Batterijen - Beldrukker - Inclusief Batterijen - IP44 Waterdicht - Zwart
9300000227825516,Deurbel Draadloos – Zwart,besjaar-deurbel-draadloos-zwart,Besjaar,Klussen & Huis,15.99,,25,166,Op voorraad,https://media.s-bol.com/R9ZjvKlkq8QO/ZYAvOX2/550x511.jpg,https://www.bol.com/nl/nl/p/besjaar-deurbel-deurbel-draadloos-draadloze-deurbel-ontvanger-op-batterijen-beldrukker-inclusief-batterijen-ip44-waterdicht-zwart/9300000227825516/,deurbel draadloos · Draadloze Deurbel · Inclusief Batterijen,Besjaar Deurbel - deurbel draadloos - Draadloze Deurbel - Inclusief Batterijen - Deurbellen - IP44 Waterdicht - Zwart
9300000308086823,Muizenval – 6 Stuks,rynex-muizenval-6-stuks,RYNEX,Klussen & Huis,12.99,,25,26,Op voorraad,https://media.s-bol.com/NqVpAz6484ND/gL38JOj/550x553.jpg,https://www.bol.com/nl/nl/p/rynex-muizenval-6-stuks-muizenvallen-voor-binnen-en-buiten-muizengif-alternatief/9300000308086823/,6 stuks · muizenvallen voor binnen en buiten · muizengif alternatief,Rynex muizenval - 6 stuks - muizenvallen voor binnen en buiten - muizengif alternatief
9300000250814270,"Muizenval – 6 Stuks, Muizenklem",rynex-muizenval-6-stuks-muizenklem,RYNEX,Klussen & Huis,12.99,,25,26,Op voorraad,https://media.s-bol.com/7RlmxB4RjBG8/Mjp2y9A/550x555.jpg,https://www.bol.com/nl/nl/p/rynex-muizenval-muizenvallen-voor-binnen-en-buiten-6-stuks-muizenklem-muizengif-alternatief/9300000250814270/,Muizenvallen voor binnen en buiten · 6 stuks · Muizenklem,Rynex Muizenval - Muizenvallen voor binnen en buiten - 6 stuks - Muizenklem - Muizengif Alternatief
9300000285266932,3x USB-C naar USB-A Adapter OTG 3.0,rynex-3x-usb-c-naar-usb-a-adapter-otg-3-0,RYNEX,Elektronica & Accessoires,7.99,9.99,25,0,Op voorraad,https://media.s-bol.com/xX51N2DozW6B/K1YJB9n/550x533.jpg,https://www.bol.com/nl/nl/p/rynex-3x-usb-c-naar-usb-a-adapter-otg-3-0-usb-c-naar-usb-adapter-converter-usb-a-female-zwart/9300000285266932/,USB-C naar USB Adapter · Converter USB-A Female · Zwart,Rynex 3x USB-C naar USB-A Adapter OTG 3.0 - USB-C naar USB Adapter - Converter USB-A Female - Zwart
9300000256297892,Aluminium Laptop Standaard,rynex-aluminium-laptop-standaard,RYNEX,Elektronica & Accessoires,12.99,,25,5,Op voorraad,https://media.s-bol.com/np5KjjKRq695/voQAP3V/550x557.jpg,https://www.bol.com/nl/nl/p/rynex-laptop-standaard-verstelbaar-ergonomische-laptopstandaard-voor-thuis-kantoor-zilver/9300000256297892/,Verstelbaar · voor Thuis & Kantoor · Ergonomische Laptopstand,Rynex Aluminium Laptop Standaard – Verstelbaar – voor Thuis & Kantoor– Ergonomische Laptopstand – Zilver
9300000248298535,SD Kaart Lezer,rynex-sd-kaart-lezer,RYNEX,Elektronica & Accessoires,9.99,,25,23,Op voorraad,https://media.s-bol.com/RzPyGN6xK5DL/Wn4xlnv/550x456.jpg,https://www.bol.com/nl/nl/p/cardreaders-sd-kaart-lezer-sd-card-reader-3-in-1-sd-kaartlezer-sd-kaartlezer-usb-c-inclusief-usb-c-naar-usb-a-converter-universeel-rynex/9300000248298535/,3 in 1 SD/TF/USB 3.0 Kaartlezer USB C · Universeel Cardreaders · Inclusief Converter,Rynex SD Kaart Lezer - 3 in 1 SD/TF/USB 3.0 Kaartlezer USB C - Universeel Cardreaders - Inclusief Converter
9300000256590825,Telefoonhouder Fiets,rynex-telefoonhouder-fiets,RYNEX,"Auto, Fiets & Reizen",15.19,15.99,25,17,Op voorraad,https://media.s-bol.com/8JnL1Jog1n0o/Q0J58Q7/550x511.jpg,https://www.bol.com/nl/nl/p/rynex-universele-fiets-telefoonhouder-360-rotatie-anti-shock-vibratie-voor-fiets-scooter-motor-smartphone-houder-iphone-android-stevig-veilig/9300000256590825/,Scooter en Motor · Gsm Houder Fiets · 360° Rotatie,RYNEX Telefoonhouder Fiets - Scooter en Motor - Gsm Houder Fiets - 360° Rotatie - Anti-Shock en Vibratie
9300000256585397,Telefoonhouders Auto Ventilatie,rynex-telefoonhouders-auto-ventilatie,RYNEX,"Auto, Fiets & Reizen",15.99,,25,15,Op voorraad,https://media.s-bol.com/q31J2yq7Gm97/zKpBp7Z/550x552.jpg,https://www.bol.com/nl/nl/p/rynex-auto-telefoonhouder-ventilatierooster-universele-smartphone-car-mount-360-draaibaar-stevig/9300000256585397/,GSM Houder auto · 360° Draaibaar en Stevig · Universeel,RYNEX Telefoonhouders Auto Ventilatie – GSM Houder auto – 360° Draaibaar en Stevig – Universeel
9300000255599026,Universele Wereldstekker,rynex-universele-wereldstekker,RYNEX,"Auto, Fiets & Reizen",15.99,,25,10,Op voorraad,https://media.s-bol.com/xXZ8qrwROo5l/Mw0xxB3/550x491.jpg,https://www.bol.com/nl/nl/p/rynex-universele-wereldstekker-reisstekker-usb-stekker-usb-c-en-usb-poort-wereldstekker-universeel-voor-150-landens-zwart/9300000255599026/,Reisstekker · USB stekker · USB-C en USB Poort,RYNEX Universele Wereldstekker- Reisstekker - USB stekker - USB-C en USB Poort - Wereldstekker Universeel voor 150+ landens - Zwart
9300000340650998,Kweeklamp LED voor Planten,besjaar-kweeklamp-led-voor-planten,Besjaar,Tuin,29.99,,25,0,Op voorraad,https://media.s-bol.com/gzAMWR2JR89D/q7g6RpD/550x550.jpg,https://www.bol.com/nl/nl/p/kweeklamp-led-full-spectrum-grow-light-kweeklampen-groeilamp-led-wit-licht-groei-en-bloei-80-leds-40w-besjaar/9300000340650998/,Grow Light · Kweeklampen · Groeilamp,Kweeklamp LED voor Planten - Grow Light - Kweeklampen - Groeilamp - 4 Stuks - 80 LED's - 40W - Besjaar
9300000229547364,Solar Buitenverlichting,besjaar-solar-buitenverlichting,Besjaar,Tuin,19.99,,25,27,Op voorraad,https://media.s-bol.com/gj8M0z5rEvO6/wpD9yQX/550x544.jpg,https://www.bol.com/nl/nl/p/besjaar-buitenlamp-met-bewegingssensor-buitenverlichting-zonne-energie-wandlamp-buiten-sensor-solar-dag-nacht-sensor-zwart-helder-licht-zonne-energie-led-schijnwerper-bewegingssensor-en-los-zonnepaneel/9300000229547364/,Buitenlamp met Bewegingssensor · Wandlamp Tuinverlichting · IP65 Waterdicht,Besjaar Solar Buitenverlichting - Buitenlamp met Bewegingssensor - Wandlamp Tuinverlichting - IP65 Waterdicht - 1000 Lumen - 5m Kabel
9300000340646709,Keukenweegschaal Digitaal – incl. Batterijen,rynex-keukenweegschaal-digitaal-incl-batterijen,RYNEX,Koken & Tafelen,9.99,15.99,25,4,Op voorraad,https://media.s-bol.com/xXZ32O3rl4pP/xnQJ4Er/550x557.jpg,https://www.bol.com/nl/nl/p/keukenweegschaal-digitaal-precisie-weegschaal-keuken-1g-5kg-waterdicht-inclusief-batterijen-rynex/9300000340646709/,Precisie Weegschaal Keuken · Tot 10kg · LCD-Scherm,Rynex Keukenweegschaal Digitaal - Precisie Weegschaal Keuken - Tot 10kg - LCD-Scherm - Tarra functie - Inclusief batterijen
9300000340648002,Keukenweegschaal Digitaal – tot 10 kg,rynex-keukenweegschaal-digitaal-tot-10-kg,RYNEX,Koken & Tafelen,9.99,,25,4,Op voorraad,https://media.s-bol.com/J5VoNrx9GmvD/nxDv4jE/550x551.jpg,https://www.bol.com/nl/nl/p/keukenweegschaal-digitaal-precisie-weegschaal-keuken-1g-10kg-waterdicht-inclusief-batterijen-rynex/9300000340648002/,Tot 10kg · Tarrafunctie · Met batterijen,Rynex Keukenweegschaal Digitaal - Tot 10kg - Tarrafunctie - Met batterijen
9300000340642206,Twinmarkers 168 Stuks,rynex-twinmarkers-168-stuks,RYNEX,Creatief & Hobby,39.99,,25,4,Op voorraad,https://media.s-bol.com/K42o3LOB32OM/1W3E3lV/550x549.jpg,https://www.bol.com/nl/nl/p/twinmarkers-168-stuks-voor-volwassenen-alcohol-markers-stiften-markeerstiften-rynex/9300000340642206/,Dubbelzijdige Alcohol Markers,Rynex Twinmarkers 168 stuks - Dubbelzijdige Alcohol Markers
9300000340643352,Twinmarkers 80 Stuks,rynex-twinmarkers-80-stuks,RYNEX,Creatief & Hobby,15.99,29.99,25,4,Op voorraad,https://media.s-bol.com/1Rl86MQmqmpR/ROD6YYE/550x549.jpg,https://www.bol.com/nl/nl/p/twinmarkers-80-stuks-voor-volwassenen-alcohol-markers-stiften-markeerstiften-rynex/9300000340643352/,Dubbelzijdige Alcohol Markers,Rynex Twinmarkers 80 stuks - Dubbelzijdige Alcohol Markers
